관할 지자체,교차로명,교차로 ID,위도(Latitude),경도(Longitude)
서울특별시,신길가마산로,1496,37.5058486000,126.9110174000
서울특별시,은천삼거리,1498,37.4856388000,126.9561764000
서울특별시,삼성129동앞,1499,37.5067948000,127.0957856000
서울특별시,서울디자인지원센터,150,37.5729392000,127.0075758000
서울특별시,잠실119안전센터,1500,37.5070194000,127.0941344000
서울특별시,종묘입구,1506,37.5726051000,126.9915319000
서울특별시,이화사거리,151,37.5761684000,127.0022106000
서울특별시,심미아파트,1510,37.5250441000,126.8562118000
서울특별시,전농1동,1516,37.5760230000,127.0475968000
서울특별시,고덕천사거리,1517,37.5571909000,127.1713299000
서울특별시,가리봉치안센터,1524,37.4787286000,126.8936444000
서울특별시,목동13.14단지,1525,37.5140373000,126.8697183000
서울특별시,강서면허시험장,1526,37.5485973000,126.8199932000
서울특별시,용마초교,1527,37.5561132000,127.0819710000
서울특별시,서남충전소,1529,37.5727576000,126.8288415000
서울특별시,서빙고역,1531,37.5202893000,126.9906666000
서울특별시,부암동주민센터,1536,37.5928510000,126.9640581000
서울특별시,정동,1537,37.5683276000,126.9691612000
서울특별시,꿈의숲동문주차장입구,154,37.6211894000,127.0456578000
서울특별시,길동시장,1541,37.5346296000,127.1363714000
서울특별시,가마산지하차도,1544,37.4920032000,126.8821241000
서울특별시,등서초교입구,1546,37.5526799000,126.8532880000
서울특별시,송정동공영주차장,155,37.5501570000,127.0685383000
서울특별시,이수역,1552,37.4853994000,126.9821635000
서울특별시,대조초교,1554,37.6132538000,126.9176130000
서울특별시,국민망우삼거리,1558,37.5991975000,127.0973412000
서울특별시,망우지구대,1559,37.5986384000,127.0950574000
서울특별시,혜화동로터리,156,37.5855368000,127.0011974000
서울특별시,면목아이파크102동,1560,37.5813116000,127.0813421000
서울특별시,구로삼각공원,1562,37.5015829000,126.8915010000
서울특별시,응암1동경향렉스빌,1567,37.6010644000,126.9251255000
서울특별시,세운상가,157,37.5705684000,126.9950438000
서울특별시,관악현대아파트,1571,37.4908408000,126.9564421000
서울특별시,동대문역,1574,37.5720141000,127.0122574000
서울특별시,능산사거리,1575,37.6083890000,127.1009941000
서울특별시,청계6가,158,37.5699421000,127.0096899000
서울특별시,동양종합금융증권,1590,37.4939478000,127.1215000000
서울특별시,월계건강관리센터,1596,37.6314925000,127.0610488000
서울특별시,은행사거리,1598,37.6506655000,127.0767348000
서울특별시,삼성힐스테이트2단지앞,160,37.5124330000,127.0511972000
서울특별시,대일고교,1602,37.5393159000,126.8637239000
서울특별시,거리공원,1603,37.5008895000,126.8901853000
서울특별시,당곡사거리,1607,37.4893893000,126.9279060000
서울특별시,신성교,1608,37.4709465000,126.9377066000
서울특별시,구로한일카센터,1609,37.4804830000,126.8912405000
서울특별시,세곡동주민센터앞,161,37.4692409000,127.1079628000
서울특별시,탑골공원,1611,37.5716041000,126.9876359000
서울특별시,군악대,1612,37.5018685000,126.9797866000
서울특별시,청화병원,1613,37.5079414000,126.9400856000
서울특별시,테라팰리스건대4차,1615,37.5449741000,127.0730011000
서울특별시,난곡119안전센터,1616,37.4758076000,126.9163204000
서울특별시,서울역사박물관,1619,37.5698431000,126.9713258000
서울특별시,국일관,1620,37.5703027000,126.9897302000
서울특별시,센스빌오피스텔,1623,37.5494806000,127.0561047000
서울특별시,이수교차로,1625,37.4997565000,126.9850200000
서울특별시,영림중,1627,37.4969637000,126.8921010000
서울특별시,일영유리,1637,37.6086715000,126.9995954000
서울특별시,한전성서지점,1648,37.6057415000,126.9341247000
서울특별시,대성주유소,1649,37.6038580000,126.9349109000
서울특별시,신목동역,165,37.5441406000,126.8831132000
서울특별시,가양주유소앞,1650,37.5661718000,126.8455307000
서울특별시,동부제일병원,1654,37.6004723000,127.1082698000
서울특별시,수락산역남측,1656,37.6760556000,127.0552833000
서울특별시,응봉교,1657,37.5473648000,127.0365249000
서울특별시,상원삼거리,1658,37.5508627000,127.0521265000
서울특별시,당산중,1659,37.5320085000,126.9057568000
서울특별시,농협태릉지점,166,37.6182600000,127.0773038000
서울특별시,노일초교,1661,37.6739710000,127.0554039000
서울특별시,가좌역,1662,37.5691157000,126.9152728000
서울특별시,압구정현대아파트77동앞,167,37.5302933000,127.0277142000
서울특별시,화양사거리,1670,37.5483276000,127.0674707000
